,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,Autumn,Spring,Summer,Winter,NSW,NT,QLD,SA,VIC,WA
5843,13.0,28.3,0.0,8.0,11.1,31.0,13.0,4.0,52.0,29.0,1018.3,1013.3,0.0,0.0,19.8,27.8,0,1,0,0,0,0,0,0,0,0,1
9306,15.1,20.7,0.0,7.6,0.0,39.0,11.0,9.0,61.0,94.0,1012.6,1011.6,8.0,8.0,20.7,15.8,0,1,0,0,0,0,0,0,0,1,0
7126,10.6,16.5,0.0,2.6,2.7,33.0,7.0,20.0,59.0,47.0,1031.8,1028.5,7.0,7.0,12.6,15.5,0,0,0,0,1,0,0,0,0,1,0
12864,8.1,11.5,10.0,1.4,1.8,19.0,6.0,7.0,99.0,81.0,1017.7,1017.2,7.0,7.0,8.5,11.0,1,0,0,0,1,0,0,0,0,1,0
1713,17.3,27.1,0.0,5.8,8.7,56.0,11.0,33.0,73.0,58.0,1010.5,1007.0,5.0,7.0,21.4,25.7,0,0,0,1,0,0,0,0,0,1,0
3702,24.5,33.6,0.0,7.6,9.4,35.0,13.0,24.0,64.0,52.0,1014.9,1011.0,2.0,4.0,29.4,32.6,0,0,1,0,0,0,1,0,0,0,0
4060,16.7,28.1,0.0,7.6,13.4,31.0,13.0,19.0,56.0,49.0,1011.9,1009.4,1.0,2.0,22.4,26.4,0,0,0,1,0,0,0,0,0,0,1
12295,9.2,15.9,0.0,3.2,3.1,37.0,11.0,15.0,72.0,65.0,1022.3,1021.9,7.0,7.0,13.0,14.6,0,0,1,0,0,0,0,0,0,1,0
5491,10.0,26.7,0.0,5.8,11.5,31.0,13.0,20.0,20.0,6.0,1023.3,1018.3,0.0,0.0,18.8,26.0,0,0,1,0,0,0,0,0,1,0,0
6237,22.3,26.1,1.8,3.6,9.1,50.0,28.0,28.0,81.0,80.0,1016.6,1014.7,3.0,7.0,24.8,25.1,1,0,0,1,0,1,0,0,0,0,0
7127,10.7,14.0,0.8,2.0,0.3,28.0,11.0,19.0,80.0,77.0,1030.8,1029.3,8.0,7.0,11.5,13.6,0,0,0,0,1,0,0,0,0,1,0
5321,14.6,24.1,0.0,12.8,11.1,43.0,31.0,26.0,65.0,37.0,1016.5,1015.5,7.0,2.0,15.3,22.0,0,0,1,0,0,0,0,0,1,0,0
3524,6.3,15.9,0.0,11.6,4.2,37.0,24.0,19.0,66.0,51.0,1013.9,1013.6,7.0,6.0,11.0,15.2,0,1,0,0,0,1,0,0,0,0,0
7848,10.3,13.5,1.6,6.2,0.2,46.0,15.0,22.0,90.0,73.0,1012.2,1011.8,8.0,8.0,10.6,12.7,1,0,1,0,0,0,0,0,0,1,0
1060,10.3,18.0,1.0,4.8,0.0,76.0,13.0,35.0,59.0,90.0,1011.4,1007.2,8.0,8.0,18.0,15.2,0,0,1,0,0,0,0,0,0,1,0
4797,20.4,30.6,0.4,4.6,1.2,22.0,2.0,11.0,54.0,37.0,1017.0,1016.0,7.0,7.0,24.3,27.4,0,1,0,0,0,0,0,0,0,0,1
7571,11.6,24.0,0.0,6.0,11.6,52.0,15.0,33.0,47.0,42.0,1024.3,1017.5,1.0,2.0,17.9,22.4,0,0,1,0,0,1,0,0,0,0,0
4237,6.2,25.4,0.0,5.8,11.8,39.0,17.0,9.0,61.0,30.0,1017.4,1013.7,5.0,3.0,14.7,24.2,0,0,0,1,0,0,0,0,1,0,0
4514,20.2,22.9,0.0,11.4,0.6,46.0,17.0,24.0,63.0,74.0,1016.0,1018.7,7.0,8.0,22.9,17.5,0,1,0,0,0,0,0,0,0,1,0
344,18.6,32.6,0.0,12.8,11.7,44.0,17.0,28.0,44.0,36.0,1006.6,1003.2,0.0,7.0,25.1,29.8,0,0,0,1,0,0,0,0,0,0,1
3873,22.9,31.6,0.0,7.4,10.9,57.0,24.0,30.0,54.0,40.0,1012.6,1009.9,1.0,1.0,26.2,31.2,0,0,0,0,1,0,1,0,0,0,0
1942,5.1,22.8,0.0,5.4,11.5,30.0,6.0,17.0,54.0,30.0,1020.2,1016.7,6.0,6.0,16.0,21.7,0,0,1,0,0,0,0,0,0,0,1
10343,4.2,11.9,3.8,0.0,1.9,30.0,13.0,20.0,89.0,68.0,1020.7,1020.6,7.0,7.0,8.4,11.3,1,0,0,0,1,1,0,0,0,0,0
2560,4.3,14.5,0.0,0.6,7.6,50.0,13.0,30.0,64.0,49.0,1030.5,1027.1,6.0,6.0,8.2,14.0,0,0,0,0,1,0,0,0,0,0,1
2335,18.7,32.5,0.0,13.2,12.2,37.0,13.0,26.0,40.0,38.0,1012.5,1011.7,1.0,0.0,27.6,29.4,0,0,1,0,0,0,0,0,0,0,1
7720,23.6,32.1,0.0,11.0,12.2,37.0,11.0,28.0,61.0,54.0,1016.0,1012.7,3.0,2.0,28.4,30.6,0,0,0,1,0,0,0,1,0,0,0
7764,26.7,34.5,0.0,9.6,11.8,31.0,13.0,15.0,61.0,50.0,1013.2,1009.8,2.0,1.0,30.5,33.3,0,0,0,1,0,0,0,1,0,0,0
4771,15.9,20.7,0.0,2.6,6.5,35.0,15.0,17.0,80.0,79.0,1015.6,1014.4,6.0,7.0,18.8,19.4,0,0,1,0,0,1,0,0,0,0,0
3719,2.3,20.7,0.0,11.6,10.9,24.0,13.0,2.0,69.0,30.0,1021.2,1017.5,0.0,0.0,11.0,19.4,0,0,0,0,1,1,0,0,0,0,0
6355,19.4,23.9,0.4,6.2,1.8,41.0,22.0,30.0,61.0,69.0,1023.9,1022.8,5.0,7.0,22.8,22.3,0,1,0,0,0,1,0,0,0,0,0
6521,10.1,20.3,0.0,3.8,10.0,48.0,9.0,31.0,49.0,51.0,1018.8,1013.9,2.0,1.0,15.6,19.3,0,0,1,0,0,1,0,0,0,0,0
6148,23.6,30.4,13.4,4.8,10.4,31.0,7.0,24.0,69.0,68.0,1010.6,1007.6,6.0,3.0,28.6,30.0,1,0,0,1,0,0,0,1,0,0,0
1161,8.4,25.8,0.0,3.2,9.3,37.0,4.0,13.0,53.0,28.0,1024.8,1021.9,0.0,0.0,16.9,25.6,0,1,0,0,0,0,0,0,0,0,1
9288,7.5,17.8,0.0,2.4,3.4,44.0,15.0,26.0,72.0,46.0,1016.4,1014.0,7.0,3.0,11.5,16.1,0,1,0,0,0,1,0,0,0,0,0
5688,9.1,14.5,0.6,1.8,4.2,19.0,9.0,7.0,87.0,49.0,1030.2,1029.0,7.0,6.0,10.2,13.1,0,0,0,0,1,0,0,0,0,1,0
6700,16.3,21.5,0.0,7.0,0.0,30.0,15.0,15.0,76.0,67.0,1017.7,1016.1,8.0,8.0,17.6,19.9,0,0,0,1,0,0,0,0,0,1,0
12521,5.1,12.6,0.0,0.2,0.0,39.0,2.0,13.0,100.0,99.0,1019.6,1017.3,7.0,8.0,6.6,11.7,0,0,0,0,1,0,0,0,0,1,0
4865,25.3,34.7,0.0,5.4,11.2,31.0,13.0,15.0,66.0,46.0,1012.2,1009.0,5.0,4.0,30.2,33.9,0,1,0,0,0,0,1,0,0,0,0
12372,10.2,24.0,0.0,3.2,8.5,28.0,6.0,13.0,78.0,50.0,1023.6,1016.4,7.0,1.0,16.7,23.7,0,0,1,0,0,1,0,0,0,0,0
7711,5.0,19.5,0.0,2.6,8.9,22.0,9.0,13.0,79.0,39.0,1023.4,1020.4,1.0,6.0,9.3,19.3,0,1,0,0,0,0,0,0,0,1,0
2284,22.4,38.1,0.0,10.6,10.8,41.0,28.0,19.0,61.0,20.0,1013.3,1009.6,2.0,3.0,25.4,36.7,0,0,0,1,0,1,0,0,0,0,0
1001,17.7,27.0,0.0,4.6,6.7,35.0,20.0,15.0,55.0,41.0,1010.2,1008.6,7.0,6.0,22.3,26.4,0,0,0,1,0,0,0,0,0,0,1
4782,13.5,20.1,0.6,1.6,4.3,33.0,19.0,24.0,91.0,63.0,1009.6,1011.2,7.0,7.0,15.9,19.2,0,0,0,1,0,0,0,0,0,1,0
2099,21.7,33.2,25.2,5.0,8.5,28.0,6.0,13.0,64.0,59.0,1014.4,1010.0,6.0,6.0,27.9,30.1,1,0,0,1,0,0,0,1,0,0,0
7492,17.2,25.3,0.0,11.0,10.2,44.0,22.0,26.0,26.0,30.0,1020.6,1017.6,0.0,0.0,20.3,24.3,0,1,0,0,0,0,0,1,0,0,0
3503,18.6,33.3,0.0,18.0,10.1,46.0,24.0,7.0,65.0,29.0,1017.3,1012.5,1.0,5.0,23.1,31.9,0,1,0,0,0,1,0,0,0,0,0
128,13.9,34.7,0.0,6.4,8.5,46.0,11.0,7.0,50.0,18.0,1022.8,1019.3,0.0,3.0,20.2,32.7,0,1,0,0,0,0,0,0,0,1,0
2997,4.8,19.4,0.0,2.6,8.6,31.0,9.0,17.0,50.0,49.0,1024.6,1022.3,2.0,5.0,14.9,18.0,0,0,1,0,0,0,0,0,0,0,1
14571,6.7,14.4,24.0,5.6,6.0,43.0,13.0,20.0,99.0,59.0,1025.6,1025.1,7.0,7.0,9.0,12.1,1,0,1,0,0,0,0,0,0,1,0
2114,9.1,22.4,0.2,2.6,10.5,52.0,7.0,33.0,97.0,67.0,1026.2,1022.1,3.0,3.0,12.2,21.5,0,1,0,0,0,0,0,0,0,1,0
2518,4.2,10.5,1.4,2.6,8.3,57.0,31.0,31.0,77.0,68.0,1014.0,1012.9,3.0,5.0,6.8,9.5,1,0,0,0,1,0,0,0,0,1,0
2683,15.3,24.9,0.0,4.0,3.3,41.0,7.0,26.0,86.0,68.0,1016.0,1016.4,8.0,2.0,18.1,22.6,0,0,0,1,0,0,0,0,0,1,0
838,19.1,24.8,7.2,5.4,3.7,26.0,7.0,2.0,87.0,78.0,1014.8,1013.2,7.0,6.0,21.5,22.7,1,0,0,1,0,1,0,0,0,0,0
4120,22.1,41.5,0.0,14.6,12.5,69.0,43.0,39.0,22.0,12.0,1009.2,1005.4,1.0,0.0,31.6,40.1,0,0,0,1,0,0,0,0,0,1,0
9308,11.4,13.7,0.8,1.2,0.5,39.0,11.0,9.0,94.0,85.0,1006.7,1002.5,8.0,8.0,11.9,11.7,0,1,0,0,0,0,0,0,0,1,0
1732,17.3,32.3,0.0,9.6,11.7,52.0,33.0,17.0,47.0,23.0,1021.3,1016.5,1.0,1.0,21.7,31.8,0,1,0,0,0,0,0,0,0,0,1
5021,4.8,17.7,0.0,3.6,10.2,24.0,4.0,7.0,62.0,30.0,1023.5,1019.8,1.0,1.0,10.6,16.6,0,0,0,0,1,0,0,0,1,0,0
10252,7.4,20.8,0.0,2.6,1.8,17.0,13.0,13.0,67.0,52.0,1027.9,1024.0,7.0,7.0,13.6,20.4,0,1,0,0,0,1,0,0,0,0,0
2800,24.7,33.6,5.8,5.8,10.6,26.0,13.0,17.0,70.0,56.0,1013.6,1010.5,1.0,3.0,28.6,32.8,1,1,0,0,0,0,1,0,0,0,0
4999,10.1,24.7,0.6,5.2,12.5,35.0,6.0,20.0,58.0,53.0,1023.2,1019.3,0.0,0.0,20.0,23.1,0,0,1,0,0,0,0,0,0,0,1
4651,6.3,15.7,0.0,1.2,3.7,31.0,19.0,13.0,56.0,39.0,1023.3,1020.4,7.0,7.0,9.2,14.7,0,0,0,0,1,0,0,0,1,0,0
5511,15.4,25.3,0.0,11.6,9.7,63.0,35.0,35.0,42.0,17.0,1017.4,1016.3,0.0,0.0,19.5,24.3,0,0,1,0,0,0,0,0,1,0,0
3501,21.8,28.5,0.0,6.2,7.8,44.0,22.0,33.0,66.0,55.0,1017.6,1014.7,7.0,7.0,24.5,26.7,0,0,0,0,1,0,0,1,0,0,0
5747,13.4,34.5,0.0,8.0,11.4,74.0,33.0,48.0,7.0,1.0,1013.7,1007.3,0.0,0.0,21.2,32.2,0,0,1,0,0,0,0,0,1,0,0
